State,Month,Measure,Units,Value
Sikkim,01-04-2021,Energy Requirement,MU,45
Tamil Nadu,01-04-2021,Energy Requirement,MU,9781
Telangana,01-04-2021,Energy Requirement,MU,6357
Tripura,01-04-2021,Energy Requirement,MU,240
Uttar Pradesh,01-04-2021,Energy Requirement,MU,10126
Uttarakhand,01-04-2021,Energy Requirement,MU,1114
West Bengal,01-04-2021,Energy Requirement,MU,5664
Andhra Pradesh,01-05-2021,Energy Met,MU,5880
Arunachal Pradesh,01-05-2021,Energy Met,MU,63
Assam,01-05-2021,Energy Met,MU,839
Bihar,01-05-2021,Energy Met,MU,2945
Chandigarh,01-05-2021,Energy Met,MU,127
Chhattisgarh,01-05-2021,Energy Met,MU,2629
DNH & DDU,01-05-2021,Energy Met,MU,672
Delhi,01-05-2021,Energy Met,MU,2314
Goa,01-05-2021,Energy Met,MU,341
Gujarat,01-05-2021,Energy Met,MU,10463
Haryana,01-05-2021,Energy Met,MU,4151
Himachal Pradesh,01-05-2021,Energy Met,MU,828
Jammu & Kashmir,01-05-2021,Energy Met,MU,1602
Jharkhand,01-05-2021,Energy Met,MU,828
Karnataka,01-05-2021,Energy Met,MU,5820
Kerala,01-05-2021,Energy Met,MU,2058
Madhya Pradesh,01-05-2021,Energy Met,MU,6426
Maharashtra,01-05-2021,Energy Met,MU,14853
Manipur,01-05-2021,Energy Met,MU,76
Meghalaya,01-05-2021,Energy Met,MU,165
Mizoram,01-05-2021,Energy Met,MU,52
Nagaland,01-05-2021,Energy Met,MU,69
Odisha,01-05-2021,Energy Met,MU,3040
Puducherry,01-05-2021,Energy Met,MU,249
Punjab,01-05-2021,Energy Met,MU,4652
Rajasthan,01-05-2021,Energy Met,MU,6595
Sikkim,01-05-2021,Energy Met,MU,45
Tamil Nadu,01-05-2021,Energy Met,MU,9293
Telangana,01-05-2021,Energy Met,MU,4875
Tripura,01-05-2021,Energy Met,MU,238
Uttar Pradesh,01-05-2021,Energy Met,MU,10564
Uttarakhand,01-05-2021,Energy Met,MU,1070
West Bengal,01-05-2021,Energy Met,MU,4747
Andhra Pradesh,01-05-2021,Energy Requirement,MU,5881
Arunachal Pradesh,01-05-2021,Energy Requirement,MU,63
Assam,01-05-2021,Energy Requirement,MU,839
Bihar,01-05-2021,Energy Requirement,MU,2945
Chandigarh,01-05-2021,Energy Requirement,MU,127
Chhattisgarh,01-05-2021,Energy Requirement,MU,2629
DNH & DDU,01-05-2021,Energy Requirement,MU,672
Delhi,01-05-2021,Energy Requirement,MU,2314
Goa,01-05-2021,Energy Requirement,MU,341
Gujarat,01-05-2021,Energy Requirement,MU,10463
Haryana,01-05-2021,Energy Requirement,MU,4153
Himachal Pradesh,01-05-2021,Energy Requirement,MU,829
Jammu & Kashmir,01-05-2021,Energy Requirement,MU,1718
Jharkhand,01-05-2021,Energy Requirement,MU,833
Karnataka,01-05-2021,Energy Requirement,MU,5821
Kerala,01-05-2021,Energy Requirement,MU,2058
Madhya Pradesh,01-05-2021,Energy Requirement,MU,6426
Maharashtra,01-05-2021,Energy Requirement,MU,14853
Manipur,01-05-2021,Energy Requirement,MU,77
Meghalaya,01-05-2021,Energy Requirement,MU,165
Mizoram,01-05-2021,Energy Requirement,MU,53
Nagaland,01-05-2021,Energy Requirement,MU,69
Odisha,01-05-2021,Energy Requirement,MU,3040
Puducherry,01-05-2021,Energy Requirement,MU,249
Punjab,01-05-2021,Energy Requirement,MU,4652
Rajasthan,01-05-2021,Energy Requirement,MU,6597
Sikkim,01-05-2021,Energy Requirement,MU,45
Tamil Nadu,01-05-2021,Energy Requirement,MU,9295
Telangana,01-05-2021,Energy Requirement,MU,4876
Tripura,01-05-2021,Energy Requirement,MU,238
Uttar Pradesh,01-05-2021,Energy Requirement,MU,10577
Uttarakhand,01-05-2021,Energy Requirement,MU,1070
West Bengal,01-05-2021,Energy Requirement,MU,4747
Andhra Pradesh,01-06-2021,Energy Met,MU,5554
Arunachal Pradesh,01-06-2021,Energy Met,MU,69
Assam,01-06-2021,Energy Met,MU,958
Bihar,01-06-2021,Energy Met,MU,3195
Chandigarh,01-06-2021,Energy Met,MU,167
Chhattisgarh,01-06-2021,Energy Met,MU,2514
DNH & DDU,01-06-2021,Energy Met,MU,744
Delhi,01-06-2021,Energy Met,MU,3262
Goa,01-06-2021,Energy Met,MU,345
Gujarat,01-06-2021,Energy Met,MU,10365
Haryana,01-06-2021,Energy Met,MU,5627
Himachal Pradesh,01-06-2021,Energy Met,MU,901
Jammu & Kashmir,01-06-2021,Energy Met,MU,1500
Jharkhand,01-06-2021,Energy Met,MU,865
Karnataka,01-06-2021,Energy Met,MU,5301
Kerala,01-06-2021,Energy Met,MU,2013
Madhya Pradesh,01-06-2021,Energy Met,MU,5892
Maharashtra,01-06-2021,Energy Met,MU,13169
Manipur,01-06-2021,Energy Met,MU,76
Meghalaya,01-06-2021,Energy Met,MU,162
Mizoram,01-06-2021,Energy Met,MU,51
Nagaland,01-06-2021,Energy Met,MU,74
Odisha,01-06-2021,Energy Met,MU,3018
Puducherry,01-06-2021,Energy Met,MU,242
Punjab,01-06-2021,Energy Met,MU,7031
Rajasthan,01-06-2021,Energy Met,MU,7300
Sikkim,01-06-2021,Energy Met,MU,42
Tamil Nadu,01-06-2021,Energy Met,MU,9366
Telangana,01-06-2021,Energy Met,MU,5219
Tripura,01-06-2021,Energy Met,MU,216
Uttar Pradesh,01-06-2021,Energy Met,MU,11997
Uttarakhand,01-06-2021,Energy Met,MU,1223
West Bengal,01-06-2021,Energy Met,MU,4918
Andhra Pradesh,01-06-2021,Energy Requirement,MU,5555
Arunachal Pradesh,01-06-2021,Energy Requirement,MU,69
Assam,01-06-2021,Energy Requirement,MU,958
Bihar,01-06-2021,Energy Requirement,MU,3197
Chandigarh,01-06-2021,Energy Requirement,MU,167
Chhattisgarh,01-06-2021,Energy Requirement,MU,2514
DNH & DDU,01-06-2021,Energy Requirement,MU,744
Delhi,01-06-2021,Energy Requirement,MU,3263
Goa,01-06-2021,Energy Requirement,MU,345
Gujarat,01-06-2021,Energy Requirement,MU,10365
Haryana,01-06-2021,Energy Requirement,MU,5639
Himachal Pradesh,01-06-2021,Energy Requirement,MU,901
Jammu & Kashmir,01-06-2021,Energy Requirement,MU,1604
Jharkhand,01-06-2021,Energy Requirement,MU,881
Karnataka,01-06-2021,Energy Requirement,MU,5302
Kerala,01-06-2021,Energy Requirement,MU,2013
Madhya Pradesh,01-06-2021,Energy Requirement,MU,5892
Maharashtra,01-06-2021,Energy Requirement,MU,13169
Manipur,01-06-2021,Energy Requirement,MU,77
Meghalaya,01-06-2021,Energy Requirement,MU,162
Mizoram,01-06-2021,Energy Requirement,MU,51
Nagaland,01-06-2021,Energy Requirement,MU,75
Odisha,01-06-2021,Energy Requirement,MU,3018
Puducherry,01-06-2021,Energy Requirement,MU,242
Punjab,01-06-2021,Energy Requirement,MU,7071
Rajasthan,01-06-2021,Energy Requirement,MU,7311
Sikkim,01-06-2021,Energy Requirement,MU,42
Tamil Nadu,01-06-2021,Energy Requirement,MU,9368
Telangana,01-06-2021,Energy Requirement,MU,5220
Tripura,01-06-2021,Energy Requirement,MU,216
Uttar Pradesh,01-06-2021,Energy Requirement,MU,12010
Uttarakhand,01-06-2021,Energy Requirement,MU,1225
West Bengal,01-06-2021,Energy Requirement,MU,4918
Andhra Pradesh,01-07-2021,Energy Met,MU,5292
Arunachal Pradesh,01-07-2021,Energy Met,MU,79
Assam,01-07-2021,Energy Met,MU,1048
Bihar,01-07-2021,Energy Met,MU,3777
Chandigarh,01-07-2021,Energy Met,MU,201
Chhattisgarh,01-07-2021,Energy Met,MU,2944
DNH & DDU,01-07-2021,Energy Met,MU,818
Delhi,01-07-2021,Energy Met,MU,3707
Goa,01-07-2021,Energy Met,MU,356
Gujarat,01-07-2021,Energy Met,MU,10802
Haryana,01-07-2021,Energy Met,MU,6500
Himachal Pradesh,01-07-2021,Energy Met,MU,898
Jammu & Kashmir,01-07-2021,Energy Met,MU,1445
Jharkhand,01-07-2021,Energy Met,MU,950
Karnataka,01-07-2021,Energy Met,MU,5254
Kerala,01-07-2021,Energy Met,MU,2081
Madhya Pradesh,01-07-2021,Energy Met,MU,6734
Maharashtra,01-07-2021,Energy Met,MU,13524
Manipur,01-07-2021,Energy Met,MU,81
Meghalaya,01-07-2021,Energy Met,MU,201
Mizoram,01-07-2021,Energy Met,MU,50
Nagaland,01-07-2021,Energy Met,MU,78
Odisha,01-07-2021,Energy Met,MU,3425
Puducherry,01-07-2021,Energy Met,MU,259
Punjab,01-07-2021,Energy Met,MU,8213
Rajasthan,01-07-2021,Energy Met,MU,8141
Sikkim,01-07-2021,Energy Met,MU,45
Tamil Nadu,01-07-2021,Energy Met,MU,9602
Telangana,01-07-2021,Energy Met,MU,5877
Tripura,01-07-2021,Energy Met,MU,229
Uttar Pradesh,01-07-2021,Energy Met,MU,13954
Uttarakhand,01-07-2021,Energy Met,MU,1360
West Bengal,01-07-2021,Energy Met,MU,5497
Andhra Pradesh,01-07-2021,Energy Requirement,MU,5292
Arunachal Pradesh,01-07-2021,Energy Requirement,MU,79
Assam,01-07-2021,Energy Requirement,MU,1048
Bihar,01-07-2021,Energy Requirement,MU,3797
Chandigarh,01-07-2021,Energy Requirement,MU,201
Chhattisgarh,01-07-2021,Energy Requirement,MU,2947
DNH & DDU,01-07-2021,Energy Requirement,MU,818
Delhi,01-07-2021,Energy Requirement,MU,3707
Goa,01-07-2021,Energy Requirement,MU,356
Gujarat,01-07-2021,Energy Requirement,MU,10802
Haryana,01-07-2021,Energy Requirement,MU,6503
Himachal Pradesh,01-07-2021,Energy Requirement,MU,901
Jammu & Kashmir,01-07-2021,Energy Requirement,MU,1552
Jharkhand,01-07-2021,Energy Requirement,MU,974
Karnataka,01-07-2021,Energy Requirement,MU,5252
Kerala,01-07-2021,Energy Requirement,MU,2080
Madhya Pradesh,01-07-2021,Energy Requirement,MU,6734
Maharashtra,01-07-2021,Energy Requirement,MU,13524
Manipur,01-07-2021,Energy Requirement,MU,81
Meghalaya,01-07-2021,Energy Requirement,MU,201
Mizoram,01-07-2021,Energy Requirement,MU,51
Nagaland,01-07-2021,Energy Requirement,MU,78
Odisha,01-07-2021,Energy Requirement,MU,3425
Puducherry,01-07-2021,Energy Requirement,MU,259
Punjab,01-07-2021,Energy Requirement,MU,8327
Rajasthan,01-07-2021,Energy Requirement,MU,8148
Sikkim,01-07-2021,Energy Requirement,MU,45
Tamil Nadu,01-07-2021,Energy Requirement,MU,9599
Telangana,01-07-2021,Energy Requirement,MU,5875
Tripura,01-07-2021,Energy Requirement,MU,229
Uttar Pradesh,01-07-2021,Energy Requirement,MU,13971
Uttarakhand,01-07-2021,Energy Requirement,MU,1374
West Bengal,01-07-2021,Energy Requirement,MU,5500
Andhra Pradesh,01-08-2021,Energy Met,MU,6086
Arunachal Pradesh,01-08-2021,Energy Met,MU,79
Assam,01-08-2021,Energy Met,MU,1075
Bihar,01-08-2021,Energy Met,MU,3659
Chandigarh,01-08-2021,Energy Met,MU,187
Chhattisgarh,01-08-2021,Energy Met,MU,3269
DNH & DDU,01-08-2021,Energy Met,MU,820
Delhi,01-08-2021,Energy Met,MU,3524
Goa,01-08-2021,Energy Met,MU,377
Gujarat,01-08-2021,Energy Met,MU,11892
Haryana,01-08-2021,Energy Met,MU,6422
Himachal Pradesh,01-08-2021,Energy Met,MU,972
Jammu & Kashmir,01-08-2021,Energy Met,MU,1447
Jharkhand,01-08-2021,Energy Met,MU,952
Karnataka,01-08-2021,Energy Met,MU,5855
Kerala,01-08-2021,Energy Met,MU,2117
Madhya Pradesh,01-08-2021,Energy Met,MU,6432
Maharashtra,01-08-2021,Energy Met,MU,14722
Manipur,01-08-2021,Energy Met,MU,81
Meghalaya,01-08-2021,Energy Met,MU,176
Mizoram,01-08-2021,Energy Met,MU,49
Nagaland,01-08-2021,Energy Met,MU,80
Odisha,01-08-2021,Energy Met,MU,3378
Puducherry,01-08-2021,Energy Met,MU,256
Punjab,01-08-2021,Energy Met,MU,8286
Rajasthan,01-08-2021,Energy Met,MU,8200
Sikkim,01-08-2021,Energy Met,MU,44
Tamil Nadu,01-08-2021,Energy Met,MU,10008
Telangana,01-08-2021,Energy Met,MU,6617
Tripura,01-08-2021,Energy Met,MU,242
Uttar Pradesh,01-08-2021,Energy Met,MU,13139
Uttarakhand,01-08-2021,Energy Met,MU,1316
West Bengal,01-08-2021,Energy Met,MU,5569
Andhra Pradesh,01-08-2021,Energy Requirement,MU,6087
Arunachal Pradesh,01-08-2021,Energy Requirement,MU,79
Assam,01-08-2021,Energy Requirement,MU,1076
Bihar,01-08-2021,Energy Requirement,MU,3722
